Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-21,3394,3603,"Fisherman's Wharf, San Francisco, CA","Embarcadero, San Francisco, CA",719.0,538.0,963.0,814.0,609.0,1089.0,754.0,589.0,965.0,655.0,487.0,880.0,752.0,630.0,897.0,,,
2019-03-21,3394,3692,"Fisherman's Wharf, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1033.0,722.0,1480.0,1092.0,748.0,1595.0,1298.0,1101.0,1531.0,1048.0,807.0,1361.0,877.0,659.0,1168.0,555.0,410.0,750.0
2019-03-21,3394,3760,"Fisherman's Wharf, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1053.0,769.0,1442.0,1032.0,796.0,1339.0,1192.0,936.0,1518.0,1075.0,780.0,1481.0,972.0,701.0,1346.0,,,
2019-03-21,3396,3603,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Embarcadero, San Francisco, CA",1246.0,963.0,1610.0,1411.0,1280.0,1555.0,,,,1261.0,970.0,1639.0,,,,,,
2019-03-21,3396,3692,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1508.0,1213.0,1874.0,1520.0,1217.0,1898.0,1780.0,1560.0,2031.0,1504.0,1386.0,1633.0,1212.0,1001.0,1467.0,,,
2019-03-21,3396,3760,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1330.0,1091.0,1622.0,1257.0,1044.0,1514.0,,,,,,,,,,,,
2019-03-21,3603,3394,"Embarcadero, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",668.0,506.0,882.0,498.0,432.0,575.0,709.0,542.0,927.0,697.0,537.0,904.0,648.0,486.0,864.0,,,
2019-03-21,3603,3396,"Embarcadero, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1283.0,743.0,2215.0,,,,1385.0,662.0,2898.0,1335.0,1039.0,1714.0,1131.0,845.0,1514.0,,,
2019-03-21,3603,3792,"Embarcadero, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",630.0,440.0,902.0,597.0,448.0,795.0,852.0,634.0,1144.0,673.0,517.0,877.0,552.0,377.0,810.0,402.0,320.0,506.0
2019-03-21,3692,3394,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",838.0,571.0,1228.0,973.0,710.0,1335.0,1058.0,724.0,1546.0,810.0,576.0,1139.0,755.0,558.0,1021.0,536.0,411.0,698.0
