,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined,Distance
0,0,3394,3603,715.5,"3394, 3603",1.5
1,0,3394,3692,1036.16,"3394, 3692",1.9
2,0,3394,3760,953.32,"3394, 3760",1.9
3,0,3396,3603,1157.5,"3396, 3603",3.2
4,0,3396,3692,1419.5,"3396, 3692",3.5
5,0,3396,3760,1278.8461538461538,"3396, 3760",3.5
6,0,3603,3394,670.04,"3603, 3394",1.5
7,0,3603,3396,1149.6,"3603, 3396",3.2
8,0,3603,3792,580.04,"3603, 3792",1.8
9,0,3692,3394,777.5416666666666,"3692, 3394",2.4
10,0,3692,3396,1206.2222222222222,"3692, 3396",4.2
11,0,3692,3792,537.4,"3692, 3792",1.4
12,0,3760,3394,830.1666666666666,"3760, 3394",2.5
13,0,3760,3396,1283.6666666666667,"3760, 3396",4.1
14,0,3760,3792,617.5555555555555,"3760, 3792",1.1
15,0,3792,3603,489.96,"3792, 3603",1.7
16,0,3792,3692,518.32,"3792, 3692",1.0
17,0,3792,3760,783.1666666666666,"3792, 3760",1.6
18,1,3394,3603,718.76,"3394, 3603",1.5
19,1,3394,3692,1065.8461538461538,"3394, 3692",1.9
20,1,3394,3760,953.7307692307693,"3394, 3760",1.9
21,1,3396,3603,1213.0,"3396, 3603",3.2
22,1,3396,3692,1463.9285714285713,"3396, 3692",3.5
23,1,3396,3760,1359.6666666666667,"3396, 3760",3.5
24,1,3603,3394,668.64,"3603, 3394",1.5
25,1,3603,3396,1172.1875,"3603, 3396",3.2
26,1,3603,3792,599.7307692307693,"3603, 3792",1.8
27,1,3692,3394,785.0769230769231,"3692, 3394",2.4
28,1,3692,3396,1288.2,"3692, 3396",4.2
29,1,3692,3792,526.4615384615385,"3692, 3792",1.4
30,1,3760,3394,835.4230769230769,"3760, 3394",2.5
31,1,3760,3396,1232.5,"3760, 3396",4.1
32,1,3760,3792,712.9230769230769,"3760, 3792",1.1
33,1,3792,3603,520.9230769230769,"3792, 3603",1.7
34,1,3792,3692,560.1538461538462,"3792, 3692",1.0
35,1,3792,3760,781.9230769230769,"3792, 3760",1.6
36,2,3394,3603,731.6538461538462,"3394, 3603",1.5
37,2,3394,3692,1059.1538461538462,"3394, 3692",1.9
38,2,3394,3760,998.4615384615385,"3394, 3760",1.9
39,2,3396,3603,1252.6666666666667,"3396, 3603",3.2
40,2,3396,3692,1524.6875,"3396, 3692",3.5
